,clean_data_l2,final_label
0,Ssbtrustops Orig ID:  Desc Date: CO Entry Descr:P/R Contr Sec:CCD Trace: Eed: Ind Name:Marner Holdings Trn: ,Bank to Bank - Personal transaction
1,Check No.  A,Personal Expense
2,MERCHANT BNKCD DES:FEE ID: INDN:PLANET SMOOTHIE  CO .,Food bill
3,INTUIT PAYROLL S DES:QUICKBOOKS ,Personal Expense
4, .,Personal Expense
5,Orig CO Name: Rp Shopify Orig ID: Descr: Transfer Sec:CCD Trace: Ind ID:StYFRJFD Ind Name:Marner Holdings Inc Trn: ,Online purchase
6,"Orig CO Name:Gusto Orig D: Desc Date: CO Entry Descr:Net ,. ",Deposit
7,Orig CO Name:Gusto Orig ID: Desc Date: CO Entry Descr:Fee Sec:CCD Trace: Eed: Ind ID:SemjqOR Ind Name:Marner Holdings Inc,Personal Expense
8,"Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry ,. Descr:RuSrbG Sec:CCD  Trace: Eed: ",Online purchase
9,WT  Scotiabank Inverlat /Bnf=Invekta Factorante ,Bank to Bank - Personal transaction
10,Orig CO Name: Shoppayinst Afrm Orig ID: Descr: Payments Sec:CCD Trace: Ind ID:XhylyTlzHdkh Ind Name:Rue Porter Trn: ,Online purchase
11,Card Purchase Fede   TN Card ,Online purchase
12,ENHANCED CAPITAL DES:ENHANCED C ID: ,Bank to Bank - Personal transaction
13,WWW.ALPHAVANTAGE.CO CAMBRIDGE MA ,Online purchase
14,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
15,MERCHANT BNKCD ,Online purchase
16,Bill Pay Chase Card Servi onLine Xooo on ,Online purchase
17,Capital One  Phone Pymt  CCD ,Personal Expense
18,AplPay CHATGPT SUBSCRIPTION SAN FRANCISCO CA ,Online purchase
19,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
20,CITIBANK CREDIT CARD Bill Payment,Gas bill
21,Orig CO Name: Shoppayinst Afrm Orig ,Online purchase
23,Online Transfer To Chk  ,Bank to Bank - Personal transaction
24,Purchase authorized on / Primrose Woodstock  GA S Card ,Online purchase
25,Check ,Personal Expense
26,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
27,CHECK NO.  A,Personal Expense
28,Card Purchase Fede   TN Card ,Online purchase
29,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
30,Bill Pay Cherokee County Water & Sewage A onLine o on ,Gas bill
31,"Orig CO Name: Apintego, Descr: Achtrans, Ind Name: Marner Holdings Inc",Bank to Bank - Personal transaction
32,Online Transfer From Chk  Transaction:  .,Bank to Bank - Personal transaction
33,AUTHNET GATEWAY  DES:BILLING ,Online purchase
34,CYBERAINC DES: ,Online purchase
35,Card Purchase Uline Ship Supplies  WI Card ,Online purchase
37,CHECKS PAID   ~,Personal Expense
38,"Card Purchase at Mission Clay Mcpu,  CA, Card ",Online purchase
39, Payment To Chase Card Ending IN ,Credit Card Payment
40,STARBUCKS STORE  LAGUNA BEACH CA ,Food bill
41,Orig CO Name:American Epress Orig ID: Desc Date: CO Entry ,Online purchase
42,Battery rd Base DES:WEB PMTS ID:FR INDN:New Age Vending LLC CO ID:,Online purchase
44,Zelle Payment To Eddie Rojas ,Bank to Bank - Personal transaction
45,MERCHANTS FOODSE DES:MERCHANTS ID:FT)( ,Food bill
46,Card Purchase  Facebk YFTywf Fb.ME/Ads CA Card ,Online purchase
47,Transfer To Acct Ending IN ,Bank to Bank - Personal transaction
48,Card Purchase  Oakland Plan/Bldg Oakland CA Card ,Online purchase
49,/ Online International Wire Transfer ,Bank to Bank - Personal transaction
50,DAVIS PAYROLL DES:CASH C&D D: INDN:NEW AGE VENDING co,Deposit
52,Check ,Personal Expense
53,Check no.  A,Personal Expense
54,Check number ,Personal Expense
55,Check  ,Personal Expense
56,/ Card Purchase ,Online purchase
57, VANTIV_INTG_PYMT DES:BILLNG D: INDN:New Age Vending LLC CO . ,Online purchase
58,Check  A,Bank to Bank - Personal transaction
59,Card Purchase Facebk VmfueTU  CA,Online purchase
60,KAHALA CORP ,Online purchase
62,Card Purchase at Google Gsuite_Ruepo Cc@Google.Com CA,Online purchase
63,Check   ,Personal Expense
64,Orig CO Name:Shoppayinst Afrm Orig D: Desc Date: CO Entry . ,Online purchase
65,"Orig CO Name:Ferrari Financia Orig ID: Desc Date: CO Entry Descr:Lease Paymsec:PPD Trace: Eed: Ind ID: Ind Name:Rojas Hernandez, Eduar Trn: Tc",Personal Expense
66,Card Purchase ,Online purchase
67,Online Banking transfer to CHK  ,Bank to Bank - Personal transaction
68,Bill Pay Biz Credit Card onLine Xooooooo on ,Online purchase
69,"Online Domestic Wire Transfer Via: Bk Amer Nyc/ A/C. Archimia P.A., Miami FL  US Ref: Westfield Wheaton Architect Fees Imad: BQgcC Trn: Es",Bank to Bank - Personal transaction
70,Check No.  A,Personal Expense
71,MERCHANT BNKCD DES:FEE	ID: INDN:PLANET SMOOTHIE  CO ,Food bill
72,DD DOORDASH FARMERBOY SAN FRANCISCO CA ,Food bill
73,Bill Pay American Epress Biz Green Card onLine  on ,Online purchase
