,clean_data_l2,final_label,len_desc
0,Ssbtrustops Orig ID:  Desc Date: CO Entry Descr:P/R Contr Sec:CCD Trace: Eed: Ind Name:Marner Holdings Trn: ,Bank to Bank - Personal transaction,108
1,Check No.  A,Personal Expense,12
2,MERCHANT BNKCD DES:FEE ID: INDN:PLANET SMOOTHIE  CO .,Food bill,53
3,INTUIT PAYROLL S DES:QUICKBOOKS ,Personal Expense,32
5,Orig CO Name: Rp Shopify Orig ID: Descr: Transfer Sec:CCD Trace: Ind ID:StYFRJFD Ind Name:Marner Holdings Inc Trn: ,Online purchase,115
6,"Orig CO Name:Gusto Orig D: Desc Date: CO Entry Descr:Net ,. ",Deposit,60
7,Orig CO Name:Gusto Orig ID: Desc Date: CO Entry Descr:Fee Sec:CCD Trace: Eed: Ind ID:SemjqOR Ind Name:Marner Holdings Inc,Personal Expense,121
8,"Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry ,. Descr:RuSrbG Sec:CCD  Trace: Eed: ",Online purchase,95
9,WT  Scotiabank Inverlat /Bnf=Invekta Factorante ,Bank to Bank - Personal transaction,48
10,Orig CO Name: Shoppayinst Afrm Orig ID: Descr: Payments Sec:CCD Trace: Ind ID:XhylyTlzHdkh Ind Name:Rue Porter Trn: ,Online purchase,116
11,Card Purchase Fede   TN Card ,Online purchase,29
12,ENHANCED CAPITAL DES:ENHANCED C ID: ,Bank to Bank - Personal transaction,36
13,WWW.ALPHAVANTAGE.CO CAMBRIDGE MA ,Online purchase,33
14,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
15,MERCHANT BNKCD ,Online purchase,15
16,Bill Pay Chase Card Servi onLine Xooo on ,Online purchase,41
17,Capital One  Phone Pymt  CCD ,Personal Expense,29
18,AplPay CHATGPT SUBSCRIPTION SAN FRANCISCO CA ,Online purchase,45
19,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
20,CITIBANK CREDIT CARD Bill Payment,Gas bill,33
21,Orig CO Name: Shoppayinst Afrm Orig ,Online purchase,36
23,Online Transfer To Chk  ,Bank to Bank - Personal transaction,24
24,Purchase authorized on / Primrose Woodstock  GA S Card ,Online purchase,55
25,Check ,Personal Expense,6
26,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
27,CHECK NO.  A,Personal Expense,12
28,Card Purchase Fede   TN Card ,Online purchase,29
29,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
30,Bill Pay Cherokee County Water & Sewage A onLine o on ,Gas bill,54
31,"Orig CO Name: Apintego, Descr: Achtrans, Ind Name: Marner Holdings Inc",Bank to Bank - Personal transaction,70
32,Online Transfer From Chk  Transaction:  .,Bank to Bank - Personal transaction,41
33,AUTHNET GATEWAY  DES:BILLING ,Online purchase,29
34,CYBERAINC DES: ,Online purchase,15
35,Card Purchase Uline Ship Supplies  WI Card ,Online purchase,43
37,CHECKS PAID   ~,Personal Expense,15
38,"Card Purchase at Mission Clay Mcpu,  CA, Card ",Online purchase,46
39, Payment To Chase Card Ending IN ,Credit Card Payment,33
40,STARBUCKS STORE  LAGUNA BEACH CA ,Food bill,33
41,Orig CO Name:American Epress Orig ID: Desc Date: CO Entry ,Online purchase,58
42,Battery rd Base DES:WEB PMTS ID:FR INDN:New Age Vending LLC CO ID:,Online purchase,66
44,Zelle Payment To Eddie Rojas ,Bank to Bank - Personal transaction,29
45,MERCHANTS FOODSE DES:MERCHANTS ID:FT)( ,Food bill,39
46,Card Purchase  Facebk YFTywf Fb.ME/Ads CA Card ,Online purchase,47
47,Transfer To Acct Ending IN ,Bank to Bank - Personal transaction,27
48,Card Purchase  Oakland Plan/Bldg Oakland CA Card ,Online purchase,49
49,/ Online International Wire Transfer ,Bank to Bank - Personal transaction,37
50,DAVIS PAYROLL DES:CASH C&D D: INDN:NEW AGE VENDING co,Deposit,53
52,Check ,Personal Expense,6
53,Check no.  A,Personal Expense,12
54,Check number ,Personal Expense,13
55,Check  ,Personal Expense,7
56,/ Card Purchase ,Online purchase,16
57, VANTIV_INTG_PYMT DES:BILLNG D: INDN:New Age Vending LLC CO . ,Online purchase,62
58,Check  A,Bank to Bank - Personal transaction,8
59,Card Purchase Facebk VmfueTU  CA,Online purchase,32
60,KAHALA CORP ,Online purchase,12
62,Card Purchase at Google Gsuite_Ruepo Cc@Google.Com CA,Online purchase,53
63,Check   ,Personal Expense,8
64,Orig CO Name:Shoppayinst Afrm Orig D: Desc Date: CO Entry . ,Online purchase,60
65,"Orig CO Name:Ferrari Financia Orig ID: Desc Date: CO Entry Descr:Lease Paymsec:PPD Trace: Eed: Ind ID: Ind Name:Rojas Hernandez, Eduar Trn: Tc",Personal Expense,142
66,Card Purchase ,Online purchase,14
67,Online Banking transfer to CHK  ,Bank to Bank - Personal transaction,32
68,Bill Pay Biz Credit Card onLine Xooooooo on ,Online purchase,44
69,"Online Domestic Wire Transfer Via: Bk Amer Nyc/ A/C. Archimia P.A., Miami FL  US Ref: Westfield Wheaton Architect Fees Imad: BQgcC Trn: Es",Bank to Bank - Personal transaction,138
70,Check No.  A,Personal Expense,12
71,"MERCHANT BNKCD DES:FEE	ID: INDN:PLANET SMOOTHIE  CO ",Food bill,52
72,DD DOORDASH FARMERBOY SAN FRANCISCO CA ,Food bill,39
73,Bill Pay American Epress Biz Green Card onLine  on ,Online purchase,51
74,"ACCOUNTANTSWORLD DES:PAYROLLDBT ID: INDN:NEW AGE VENDING LLC CO ,.",Personal Expense,66
75,"PLUMREWARD, LLC ",Online purchase,16
76,Capital One Arc Check Pymt Arc ID: ,Online purchase,35
77,Bill Pay Capital One Credit Card onLine Xooooooo on ,Online purchase,52
78,Check  ,Personal Expense,7
79,Check  ,Personal Expense,7
80,Online Transfer To Chk  Transaction; ,Bank to Bank - Personal transaction,37
81,"Online Domestic Wire Transfer Via: Usaa Fedl Sa/ A/C:. Gregory Hunter Gostomski Riverview FL  US Ref: Reimbursement , Imad: BQgcC Trn: Es",Bank to Bank - Personal transaction,137
82,Card Purchase ,Online purchase,14
83,Orig CO Name:Gusto Orig ID: Desc Date: CO Entry Descr:Ta Sec:CCD Trace: Eed: Ind ID:Semjqcjtu Ind Name:Marner Holdings Inc,Deposit,122
84,/ Payment To Chase Card Ending IN ,Personal Expense,34
85,CHECKS PAID    A,Personal Expense,16
86,Bill Pay American Epress Biz Platinum onLine  ,Online purchase,46
87,Bill Pay Chase Card Services onLine X on ,Online purchase,41
